age,female,from,healthy,mild,severe,death
109,0,severe,0.003926293,0.028568089,0.295260425,0.672245194
110,0,severe,0.005092635,0.026055819,0.276467746,0.6923838
111,0,severe,0.006829675,0.023731364,0.258756626,0.710682335
112,0,severe,0.009483954,0.021586504,0.24210697,0.726822573
113,0,severe,0.013653224,0.019607432,0.226434716,0.740304628
114,0,severe,0.020391702,0.017773252,0.211563831,0.750271215
51,1,severe,0.04652051,0.195356826,0.698069505,0.060053158
52,1,severe,0.042457324,0.188704201,0.708599915,0.06023856
53,1,severe,0.038950427,0.182359008,0.718072569,0.060617996
54,1,severe,0.03590255,0.176336885,0.726586192,0.061174372
55,1,severe,0.03323396,0.170645645,0.734230562,0.061889833
56,1,severe,0.030879015,0.165287408,0.7410881,0.062745476
57,1,severe,0.028783439,0.160260239,0.747235278,0.063721044
58,1,severe,0.026902169,0.155559408,0.752743828,0.064794595
59,1,severe,0.02519765,0.151178354,0.757681777,0.065942219
60,1,severe,0.023638505,0.147109415,0.762114301,0.067137779
61,1,severe,0.022198491,0.143344376,0.766104398,0.068352736
62,1,severe,0.020855678,0.139874873,0.769713392,0.069556057
63,1,severe,0.019591816,0.136692692,0.77300125,0.070714242
64,1,severe,0.018391838,0.133789968,0.776026715,0.071791479
65,1,severe,0.017243473,0.131159317,0.778847253,0.072749958
66,1,severe,0.016138473,0.128789005,0.781509196,0.073563326
67,1,severe,0.015076156,0.126648835,0.784017844,0.074257166
68,1,severe,0.014057263,0.124705754,0.786365238,0.074871745
69,1,severe,0.013082258,0.122928629,0.788540277,0.075448837
70,1,severe,0.012151358,0.121287977,0.790529239,0.076031426
71,1,severe,0.011264557,0.119755727,0.792316076,0.076663639
72,1,severe,0.010421651,0.118304986,0.793882464,0.0773909
73,1,severe,0.009622246,0.116909833,0.795207602,0.078260319
74,1,severe,0.008865775,0.115545131,0.796267758,0.079321337
75,1,severe,0.008151509,0.114186345,0.797035518,0.080626628
76,1,severe,0.007478924,0.112812517,0.797480959,0.082227599
77,1,severe,0.006848554,0.11141538,0.797578195,0.084157871
78,1,severe,0.006260577,0.109989617,0.797299825,0.086449981
79,1,severe,0.005714527,0.108529616,0.796614239,0.089141618
80,1,severe,0.005209405,0.107029398,0.795484754,0.092276443
81,1,severe,0.004743789,0.10548253,0.793868655,0.095905026
82,1,severe,0.004315939,0.103882038,0.791716104,0.100085918
83,1,severe,0.003923878,0.102220318,0.788968936,0.104886868
84,1,severe,0.003565472,0.100489038,0.785559311,0.110386179
85,1,severe,0.003238495,0.098679041,0.781408249,0.116674215
86,1,severe,0.002941233,0.096781111,0.776431694,0.123845962
87,1,severe,0.002673788,0.094788852,0.770565798,0.131971563
88,1,severe,0.002435921,0.092696881,0.763750524,0.141116674
89,1,severe,0.002226698,0.090500276,0.755924162,0.151348864
90,1,severe,0.002044747,0.088194815,0.747025056,0.162735382
91,1,severe,0.001888483,0.085777262,0.736993812,0.175340444
92,1,severe,0.001756279,0.083245693,0.72577601,0.189222018
93,1,severe,0.001646607,0.080599838,0.713325396,0.204428159
94,1,severe,0.001558159,0.077841438,0.69960746,0.220992943
95,1,severe,0.001489938,0.074974584,0.684603284,0.238932194
96,1,severe,0.001441355,0.072006019,0.66831342,0.258239206
97,1,severe,0.001412335,0.068945354,0.650761544,0.278880767
98,1,severe,0.001403437,0.065805185,0.631997531,0.300793846
99,1,severe,0.001416027,0.062601058,0.612099619,0.323883296
100,1,severe,0.001452515,0.059351268,0.591175273,0.348020944
101,1,severe,0.001516713,0.056076477,0.569360505,0.373046306
102,1,severe,0.001614359,0.052799153,0.546817431,0.398769058
103,1,severe,0.001753921,0.049542856,0.523730054,0.424973169
104,1,severe,0.001947839,0.0463314,0.500298403,0.451422358
105,1,severe,0.002214465,0.043187961,0.476731304,0.47786627
106,1,severe,0.002581168,0.040134172,0.453238182,0.504046478
107,1,severe,0.003089369,0.037189277,0.430020277,0.529701076
108,1,severe,0.003802903,0.034369365,0.407261543,0.554566189
109,1,severe,0.004822155,0.031686698,0.385119175,0.578371972
110,1,severe,0.006308493,0.0291491,0.363713157,0.60082925
111,1,severe,0.008527359,0.026759288,0.343113208,0.621600145
112,1,severe,0.011925678,0.02451395,0.323319872,0.6402405
113,1,severe,0.017273005,0.022402204,0.304233574,0.656091216
114,1,severe,0.0259203,0.020402847,0.285600797,0.668076056
51,0,death,0,0,0,1
